signal,sitrep,report_date,province,value,unit,source_note
eds_death_alerts,062,2026-07-15,Ituri,55,alerts,"section 7 prose; Ituri only 55 (dated 15/07) - N-Kivu prints no alert count; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,062,2026-07-15,Ituri,46,investigations,"section 7 prose; Ituri 46 + N-Kivu 17; the N-Kivu 17 is worded 'corps securises et inhumes dignement' not 'EDS realises' so the field is not identical; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,062,2026-07-15,Nord-Kivu,17,investigations,"section 7 prose; Ituri 46 + N-Kivu 17; the N-Kivu 17 is worded 'corps securises et inhumes dignement' not 'EDS realises' so the field is not identical; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,062,2026-07-15,Ituri,33,corpses,"section 7 prose; Ituri only 33 - N-Kivu prints no swab count; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,064,2026-07-17,Nord-Kivu,47,alerts,"section 7 prose; N-Kivu only 47 - Ituri narrative with no counts; Haut-Uele's '4 alertes validees dont un deces' is the Tableau 3 validation field not a death-alert count so it is excluded; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,064,2026-07-17,Nord-Kivu,46,investigations,"section 7 prose; N-Kivu only 46; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,064,2026-07-17,Nord-Kivu,47,corpses,"section 7 prose; N-Kivu only 47 - printed as corps swabes/securises; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,065,2026-07-18,Ituri,67,alerts,"section 7 prose; Ituri only 67 - the denominator of '52 EDS realises sur 67'; N-Kivu prints no alert count; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,065,2026-07-18,Ituri,52,investigations,"section 7 prose; Ituri 52 + N-Kivu 24; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,065,2026-07-18,Nord-Kivu,24,investigations,"section 7 prose; Ituri 52 + N-Kivu 24; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,065,2026-07-18,Ituri,36,corpses,"section 7 prose; Ituri only 36; the N-Kivu 'corps swabes et securises en attente 12' is a pending backlog and its sentence is internally inconsistent ('dont 24 EDS' of 12) so it is excluded; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,066,2026-07-19,Nord-Kivu,20,alerts,"section 7 prose; N-Kivu only 20 - Ituri narrative with no counts; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,066,2026-07-19,Nord-Kivu,24,investigations,"section 7 prose; N-Kivu only 24 - exceeds the 20 alerts; 10 reports du jour also printed; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,066,2026-07-19,Nord-Kivu,20,corpses,"section 7 prose; N-Kivu only 20 - printed as corps swabes et securises; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,067,2026-07-20,Nord-Kivu,39,alerts,"section 7 prose; N-Kivu only 39 - Ituri Sud-Kivu and Tshopo narrative with no counts; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,067,2026-07-20,Nord-Kivu,40,investigations,"section 7 prose; N-Kivu only 40 - exceeds the 39 alerts; 9 reports also printed; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,067,2026-07-20,Nord-Kivu,39,corpses,"section 7 prose; N-Kivu only 39 - printed as corps swabes et securises; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,068,2026-07-21,Nord-Kivu,38,alerts,"section 7 prose; N-Kivu only 38 - Ituri and Tshopo narrative with no counts; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,068,2026-07-21,Nord-Kivu,34,investigations,"section 7 prose; N-Kivu only 34; 12 reports also printed; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,068,2026-07-21,Nord-Kivu,37,corpses,"section 7 prose; N-Kivu only 37 - printed as corps swabes/securises with 1 echec de swab at Butembo; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,069,2026-07-22,Ituri,75,alerts,"section 7 prose; Ituri 75 + N-Kivu 40; N-Kivu printed as '39 Swabs realises sur 40 alertes deces remontees'; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,069,2026-07-22,Nord-Kivu,40,alerts,"section 7 prose; Ituri 75 + N-Kivu 40; N-Kivu printed as '39 Swabs realises sur 40 alertes deces remontees'; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,069,2026-07-22,Ituri,68,investigations,"section 7 prose; Ituri only 68 - N-Kivu prints NO EDS count this vintage so this is not a national total; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,069,2026-07-22,Ituri,43,corpses,"section 7 prose; Ituri 43 + N-Kivu 39; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,069,2026-07-22,Nord-Kivu,39,corpses,"section 7 prose; Ituri 43 + N-Kivu 39; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,070,2026-07-23,Ituri,89,alerts,"section 7 prose; Ituri 89 + N-Kivu 40; province coverage varies by vintage, so filter to one province before differencing"
eds_death_alerts,070,2026-07-23,Nord-Kivu,40,alerts,"section 7 prose; Ituri 89 + N-Kivu 40; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,070,2026-07-23,Ituri,71,investigations,"section 7 prose; Ituri 71 + N-Kivu 40; province coverage varies by vintage, so filter to one province before differencing"
eds_investigations_performed,070,2026-07-23,Nord-Kivu,40,investigations,"section 7 prose; Ituri 71 + N-Kivu 40; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,070,2026-07-23,Ituri,49,corpses,"section 7 prose; Ituri 49 + N-Kivu 38; province coverage varies by vintage, so filter to one province before differencing"
eds_corpses_swabbed,070,2026-07-23,Nord-Kivu,38,corpses,"section 7 prose; Ituri 49 + N-Kivu 38; province coverage varies by vintage, so filter to one province before differencing"
contacts_under_follow_up,071,2026-07-24,Ensemble,14525,persons,Tableau 4 national `sous suivi`; per province Ituri 10123 N-Kivu 4111 Tshopo 33 Haut-Uele 258 Sud-Kivu 0 (fin de suivi)
contacts_seen,071,2026-07-24,Ensemble,11100,persons,Tableau 4 national `vus`; page-1 tile gives the ratio 76.4 percent
contact_tracing_coverage,071,2026-07-24,Ensemble,76.4,percent,page-1 `SUIVI DES CONTACTS NATIONAL`; 11100/14525; Ituri and N-Kivu computed only over reporting health zones (8 zones had no data at consolidation)
alerts_total_day,071,2026-07-24,Ensemble,1937,alerts,Tableau 3 `Total alertes du jour`; report J-1 79 + nouvelles 1858
alerts_investigated,071,2026-07-24,Ensemble,1617,alerts,Tableau 3 `Alertes investiguees`
alert_investigation_rate,071,2026-07-24,Ensemble,83.5,percent,Tableau 3 `Taux d'investigation (24 h)`; 1617/1937; Haut-Uele only 8.9 percent
alerts_validated_alive,071,2026-07-24,Ensemble,189,alerts,Tableau 3 `Alertes validees vivantes`; sums with the dead row to the 274 suspects of the day
alerts_validated_dead_community,071,2026-07-24,Ensemble,85,alerts,Tableau 3 `Alertes validees decedees (comm.)`; candidate replacement basis for the frozen suspected_daily_deaths_history (issue #431)
poe_travellers_screened,071,2026-07-24,Ensemble,167939,persons,Tableau 5 global; Ituri 104642 (printed `10 4642`) + N-Kivu 61060 + Tshopo 2237
poe_travellers_screened,071,2026-07-24,Ituri,104642,persons,Tableau 5 global; Ituri 104642 (printed `10 4642`) + N-Kivu 61060 + Tshopo 2237
poe_travellers_screened,071,2026-07-24,Nord-Kivu,61060,persons,Tableau 5 global; Ituri 104642 (printed `10 4642`) + N-Kivu 61060 + Tshopo 2237
poe_travellers_screened,071,2026-07-24,Tshopo,2237,persons,Tableau 5 global; Ituri 104642 (printed `10 4642`) + N-Kivu 61060 + Tshopo 2237
poe_corpses_swabbed,071,2026-07-24,Ensemble,2,corpses,Tableau 5; 100.0 percent of 2 intercepted
health_worker_infections_cumulative,071,2026-07-24,Ensemble,123,persons,Tableau 8 PPL total confirmed; 67 recovered 20 hospitalised 36 deaths
health_worker_deaths_cumulative,071,2026-07-24,Ensemble,36,persons,Tableau 8 PPL deaths; letalite 29.3 percent
treatment_admissions_cumulative,071,2026-07-24,Ensemble,869,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 649 + N-Kivu 220; distinct from the fitted 24h figure
treatment_admissions_cumulative,071,2026-07-24,Ituri,649,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 649 + N-Kivu 220; distinct from the fitted 24h figure
treatment_admissions_cumulative,071,2026-07-24,Nord-Kivu,220,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 649 + N-Kivu 220; distinct from the fitted 24h figure
contacts_under_follow_up,072,2026-07-25,Ensemble,15440,persons,Tableau 4 national `sous suivi`; Ituri 10901 N-Kivu 4307 Tshopo 33 Haut-Uele 199 Sud-Kivu 0
contacts_seen,072,2026-07-25,Ensemble,12010,persons,Tableau 4 national `vus`
contact_tracing_coverage,072,2026-07-25,Ensemble,77.8,percent,page-1 `SUIVI DES CONTACTS NATIONAL`; 12010/15440; reporting-zone caveat as 071 but a different zone list
alerts_total_day,072,2026-07-25,Ensemble,1417,alerts,Tableau 3 `Total alertes du jour`; report J-1 82 + nouvelles 1335
alerts_investigated,072,2026-07-25,Ensemble,1206,alerts,Tableau 3 `Alertes investiguees`
alert_investigation_rate,072,2026-07-25,Ensemble,85.1,percent,Tableau 3 `Taux d'investigation (24 h)`; 1206/1417
alerts_validated_alive,072,2026-07-25,Ensemble,233,alerts,Tableau 3; sums with the dead row to the 340 suspects of the day
alerts_validated_dead_community,072,2026-07-25,Ensemble,107,alerts,Tableau 3 `Alertes validees decedees (comm.)`; see issue #431
poe_travellers_screened,072,2026-07-25,Ensemble,155936,persons,Tableau 5 global; Ituri 98423 + N-Kivu 53748 + Tshopo 3765
poe_travellers_screened,072,2026-07-25,Ituri,98423,persons,Tableau 5 global; Ituri 98423 + N-Kivu 53748 + Tshopo 3765
poe_travellers_screened,072,2026-07-25,Nord-Kivu,53748,persons,Tableau 5 global; Ituri 98423 + N-Kivu 53748 + Tshopo 3765
poe_travellers_screened,072,2026-07-25,Tshopo,3765,persons,Tableau 5 global; Ituri 98423 + N-Kivu 53748 + Tshopo 3765
poe_corpses_swabbed,072,2026-07-25,Ensemble,4,corpses,Tableau 5; 100.0 percent of 4 intercepted
health_worker_infections_cumulative,072,2026-07-25,Ensemble,123,persons,Tableau 8 PPL total confirmed; flat against 071 though the PCI narrative reports a new Nizi case not yet in the table
health_worker_deaths_cumulative,072,2026-07-25,Ensemble,37,persons,Tableau 8 PPL deaths; letalite 30.1 percent; only change from 071 is Bunia 14 to 15
treatment_admissions_cumulative,072,2026-07-25,Ensemble,894,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 678 + N-Kivu 216; N-Kivu FELL from 220 despite 49 admissions in 24h
treatment_admissions_cumulative,072,2026-07-25,Ituri,678,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 678 + N-Kivu 216; N-Kivu FELL from 220 despite 49 admissions in 24h
treatment_admissions_cumulative,072,2026-07-25,Nord-Kivu,216,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 678 + N-Kivu 216; N-Kivu FELL from 220 despite 49 admissions in 24h
eds_death_alerts,072,2026-07-25,Ituri,65,alerts,section 7 prose (never a table); Ituri 65 + N-Kivu 33; present from at least SitRep 060 but intermittently - 071 gives no EDS numbers and some vintages give one province only - so a missing province is not a zero; not reconciled against the Tableau 3 dead-alert count of 107
eds_death_alerts,072,2026-07-25,Nord-Kivu,33,alerts,section 7 prose (never a table); Ituri 65 + N-Kivu 33; present from at least SitRep 060 but intermittently - 071 gives no EDS numbers and some vintages give one province only - so a missing province is not a zero; not reconciled against the Tableau 3 dead-alert count of 107
eds_investigations_performed,072,2026-07-25,Ituri,50,investigations,section 7 prose; Ituri 50 + N-Kivu 30; intermittent from at least SitRep 060 - see the eds_death_alerts note
eds_investigations_performed,072,2026-07-25,Nord-Kivu,30,investigations,section 7 prose; Ituri 50 + N-Kivu 30; intermittent from at least SitRep 060 - see the eds_death_alerts note
eds_corpses_swabbed,072,2026-07-25,Ituri,40,corpses,section 7 prose; Ituri 40 + N-Kivu 33; intermittent from at least SitRep 060 - see the eds_death_alerts note; N-Kivu swabs 33 of 33 alerts on 30 EDS performed - looks degenerate
eds_corpses_swabbed,072,2026-07-25,Nord-Kivu,33,corpses,section 7 prose; Ituri 40 + N-Kivu 33; intermittent from at least SitRep 060 - see the eds_death_alerts note; N-Kivu swabs 33 of 33 alerts on 30 EDS performed - looks degenerate
contacts_under_follow_up,073,2026-07-26,Ensemble,15498,persons,Tableau 4 national `sous suivi`; Ituri 10901 N-Kivu 4447 Haut-Uele 150 Sud-Kivu 0 Tshopo ND
contacts_seen,073,2026-07-26,Ensemble,12122,persons,Tableau 4 national `vus`
contact_tracing_coverage,073,2026-07-26,Ensemble,78.2,percent,"page-1 `SUIVI DES CONTACTS NATIONAL`; 12122/15498; Tshopo ND in table despite section-3.3 narrative giving 90.9 percent (discrepancy, table used)"
alerts_total_day,073,2026-07-26,Ensemble,1303,alerts,Tableau 3 `Total alertes du jour`; report J-1 101 + nouvelles 1202
alerts_investigated,073,2026-07-26,Ensemble,1078,alerts,Tableau 3 `Alertes investiguees`
alert_investigation_rate,073,2026-07-26,Ensemble,82.7,percent,Tableau 3 `Taux d'investigation (24 h)`; 1078/1303
alerts_validated_alive,073,2026-07-26,Ensemble,216,alerts,Tableau 3; sums with the dead row to the 326 suspects of the day
alerts_validated_dead_community,073,2026-07-26,Ensemble,110,alerts,Tableau 3 `Alertes validees decedees (comm.)`; see issue #431
poe_travellers_screened,073,2026-07-26,Ensemble,152039,persons,Tableau 5 global; Ituri 88216 + N-Kivu 54718 + Tshopo 9105
poe_travellers_screened,073,2026-07-26,Ituri,88216,persons,Tableau 5 global; Ituri 88216 + N-Kivu 54718 + Tshopo 9105
poe_travellers_screened,073,2026-07-26,Nord-Kivu,54718,persons,Tableau 5 global; Ituri 88216 + N-Kivu 54718 + Tshopo 9105
poe_travellers_screened,073,2026-07-26,Tshopo,9105,persons,Tableau 5 global; Ituri 88216 + N-Kivu 54718 + Tshopo 9105
poe_corpses_swabbed,073,2026-07-26,Ensemble,0,corpses,"Tableau 5; 0 corps sans vie interceptes ce jour, all provinces 0"
health_worker_infections_cumulative,073,2026-07-26,Ituri,123,persons,"Tableau 8 Ituri-zone total 123 + narrative Nord-Kivu 11 = 134; first vintage since at least 069 with a Nord-Kivu PPL line - SitReps 069-072's Tableau 8 (checked directly) is Ituri-only with no Nord-Kivu row, so those vintages' recorded values here were Ituri-only, not truly national"
health_worker_infections_cumulative,073,2026-07-26,Nord-Kivu,11,persons,"Tableau 8 Ituri-zone total 123 + narrative Nord-Kivu 11 = 134; first vintage since at least 069 with a Nord-Kivu PPL line - SitReps 069-072's Tableau 8 (checked directly) is Ituri-only with no Nord-Kivu row, so those vintages' recorded values here were Ituri-only, not truly national"
health_worker_deaths_cumulative,073,2026-07-26,Ituri,37,persons,Tableau 8 Ituri-zone total 37 + narrative Nord-Kivu 3 = 40; Ituri-only letalite printed as 30.1 percent; see health_worker_infections_cumulative note on the Nord-Kivu coverage change
health_worker_deaths_cumulative,073,2026-07-26,Nord-Kivu,3,persons,Tableau 8 Ituri-zone total 37 + narrative Nord-Kivu 3 = 40; Ituri-only letalite printed as 30.1 percent; see health_worker_infections_cumulative note on the Nord-Kivu coverage change
treatment_admissions_cumulative,073,2026-07-26,Ensemble,807,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 594 + N-Kivu 213; distinct from the fitted 24h figure
treatment_admissions_cumulative,073,2026-07-26,Ituri,594,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 594 + N-Kivu 213; distinct from the fitted 24h figure
treatment_admissions_cumulative,073,2026-07-26,Nord-Kivu,213,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 594 + N-Kivu 213; distinct from the fitted 24h figure
eds_death_alerts,073,2026-07-26,Ituri,78,alerts,"section 7 prose (never a table); Ituri only (67 du jour + 11 reportees de la veille); Nord-Kivu gives no numeric EDS counts this vintage (escort narrative only) - intermittent, see data/README.md eds row"
eds_investigations_performed,073,2026-07-26,Ituri,61,investigations,"section 7 prose; Ituri only, 78 percent rate; Nord-Kivu intermittent - see eds_death_alerts note"
eds_corpses_swabbed,073,2026-07-26,Ituri,47,corpses,section 7 prose; Ituri only (38 communaute + 9 ESS); Nord-Kivu intermittent - see eds_death_alerts note
contacts_under_follow_up,074,2026-07-27,Ensemble,17588,persons,Tableau 4 national `sous suivi`; Ituri 12500 N-Kivu 4908 Tshopo 30 Haut-Uele 150 Sud-Kivu 0
contacts_seen,074,2026-07-27,Ensemble,13882,persons,Tableau 4 national `vus`
contact_tracing_coverage,074,2026-07-27,Ensemble,78.9,percent,"page-1 `SUIVI DES CONTACTS NATIONAL`; 13882/17588; Ituri 77.6 percent, Haut-Uele 60.0 percent, N-Kivu 82.6 percent, Tshopo 100.0 percent, Sud-Kivu suivi clos/NA"
alerts_total_day,074,2026-07-27,Ensemble,1425,alerts,Tableau 3 `Total alertes du jour`; report J-1 162 + nouvelles 1263
alerts_investigated,074,2026-07-27,Ensemble,1142,alerts,Tableau 3 `Alertes investiguees`
alert_investigation_rate,074,2026-07-27,Ensemble,80.1,percent,Tableau 3 `Taux d'investigation (24 h)`; 1142/1425
alerts_validated_alive,074,2026-07-27,Ensemble,213,alerts,Tableau 3; sums with the dead row to the 321 suspects of the day
alerts_validated_dead_community,074,2026-07-27,Ensemble,108,alerts,Tableau 3 `Alertes validees decedees (comm.)`; see issue #431
poe_travellers_screened,074,2026-07-27,Ensemble,196371,persons,"Tableau 5 global (printed with an asterisk, Haut-Uele/Tshopo ND); Ituri 112101 + N-Kivu 72711 + Sud-Kivu 11559"
poe_travellers_screened,074,2026-07-27,Ituri,112101,persons,"Tableau 5 global (printed with an asterisk, Haut-Uele/Tshopo ND); Ituri 112101 + N-Kivu 72711 + Sud-Kivu 11559"
poe_travellers_screened,074,2026-07-27,Nord-Kivu,72711,persons,"Tableau 5 global (printed with an asterisk, Haut-Uele/Tshopo ND); Ituri 112101 + N-Kivu 72711 + Sud-Kivu 11559"
poe_travellers_screened,074,2026-07-27,Sud-Kivu,11559,persons,"Tableau 5 global (printed with an asterisk, Haut-Uele/Tshopo ND); Ituri 112101 + N-Kivu 72711 + Sud-Kivu 11559"
poe_corpses_swabbed,074,2026-07-27,Ensemble,1,corpses,Tableau 5; 100.0 percent of 1 intercepted (Nord-Kivu)
health_worker_infections_cumulative,074,2026-07-27,Ituri,123,persons,"Tableau 8 Ituri-zone total 123 + narrative Nord-Kivu 11 = 134; table (all zone rows) and narrative BYTE-IDENTICAL to SitRep 073, an unrefreshed carry-forward tile - this vintage drops 073's trailing explicit-national-total sentence but the components are unchanged"
health_worker_infections_cumulative,074,2026-07-27,Nord-Kivu,11,persons,"Tableau 8 Ituri-zone total 123 + narrative Nord-Kivu 11 = 134; table (all zone rows) and narrative BYTE-IDENTICAL to SitRep 073, an unrefreshed carry-forward tile - this vintage drops 073's trailing explicit-national-total sentence but the components are unchanged"
health_worker_deaths_cumulative,074,2026-07-27,Ituri,37,persons,"Tableau 8 Ituri-zone total 37 + narrative Nord-Kivu 3 = 40; see health_worker_infections_cumulative note, same carry-forward"
health_worker_deaths_cumulative,074,2026-07-27,Nord-Kivu,3,persons,"Tableau 8 Ituri-zone total 37 + narrative Nord-Kivu 3 = 40; see health_worker_infections_cumulative note, same carry-forward"
treatment_admissions_cumulative,074,2026-07-27,Ensemble,859,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 630 + N-Kivu 229; distinct from the fitted 24h figure
treatment_admissions_cumulative,074,2026-07-27,Ituri,630,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 630 + N-Kivu 229; distinct from the fitted 24h figure
treatment_admissions_cumulative,074,2026-07-27,Nord-Kivu,229,admissions,Tableau 6 `Total admissions (cumul)`; Ituri 630 + N-Kivu 229; distinct from the fitted 24h figure
eds_investigations_performed,074,2026-07-27,Nord-Kivu,37,investigations,"section 7 prose (never a table); Nord-Kivu only this vintage (the REVERSE of 073's Ituri-only coverage) - Ituri's EDS paragraph is training/logistics narrative with no numeric counts; intermittent, see data/README.md eds row"
eds_corpses_swabbed,074,2026-07-27,Nord-Kivu,39,corpses,section 7 prose; Nord-Kivu only (39 sur 42 alertes remontees en escorte); Ituri intermittent - see eds_investigations_performed note
eds_death_alerts,074,2026-07-27,Nord-Kivu,42,alerts,"section 7 prose (never a table); Nord-Kivu only this vintage (37 EDS realises, 39 corps swabes sur 42 alertes remontees en escorte); Ituri intermittent - see eds_investigations_performed note"
contacts_under_follow_up,077,2026-07-30,Ensemble,17863,persons,"Tableau 4 national `sous suivi`; Ituri 11638 N-Kivu 5667 Tshopo 65 Haut-Uele 458 Sud-Kivu 0 (fin de suivi); page-1 tile independently prints a different fraction (17828/13420) for the same 75.3 percent rate, a printed inconsistency between page 1 and Tableau 4"
contacts_seen,077,2026-07-30,Ensemble,13455,persons,Tableau 4 national `vus`; see contacts_under_follow_up note on the page-1/Tableau-4 discrepancy
contact_tracing_coverage,077,2026-07-30,Ensemble,75.3,percent,"page-1 `SUIVI DES CONTACTS NATIONAL` and Tableau 4 Total both state 75.3 percent despite printing different underlying fractions (17828/13420 vs 17863/13455); Ituri 75.5 percent, N-Kivu 74.6-74.7 percent, Haut-Uele 80.6 percent, Tshopo 66.2 percent, Sud-Kivu fin de suivi (0/0, NA)"
alerts_total_day,077,2026-07-30,Ensemble,1535,alerts,"Tableau 3 auditable value: province cells (524+913+27+71) sum to 1535, matching the narrative sentence `1535 alertes` exactly; the table's own printed Total-column cell reads 1135, a discrepancy (not used)"
alerts_investigated,077,2026-07-30,Ensemble,1291,alerts,Tableau 3 `Alertes investiguees`
alert_investigation_rate,077,2026-07-30,Ensemble,84.10,percent,Tableau 3 `Taux d'investigation (24 h)`; 1291/1535 using the auditable total
alerts_validated_alive,077,2026-07-30,Ensemble,280,alerts,Tableau 3; sums with the dead row to the 374 suspects of the day
alerts_validated_dead_community,077,2026-07-30,Ensemble,94,alerts,Tableau 3 `Alertes validees decedees (comm.)`; see issue #431
poe_travellers_screened,077,2026-07-30,Ensemble,195098,persons,Tableau 5 global; Ituri 115981 + N-Kivu 60233 + Tshopo 2348 + Haut-Uele 16536 (Sud-Kivu ND)
poe_travellers_screened,077,2026-07-30,Haut-Uele,16536,persons,Tableau 5 global; Ituri 115981 + N-Kivu 60233 + Tshopo 2348 + Haut-Uele 16536 (Sud-Kivu ND)
poe_travellers_screened,077,2026-07-30,Ituri,115981,persons,Tableau 5 global; Ituri 115981 + N-Kivu 60233 + Tshopo 2348 + Haut-Uele 16536 (Sud-Kivu ND)
poe_travellers_screened,077,2026-07-30,Nord-Kivu,60233,persons,Tableau 5 global; Ituri 115981 + N-Kivu 60233 + Tshopo 2348 + Haut-Uele 16536 (Sud-Kivu ND)
poe_travellers_screened,077,2026-07-30,Tshopo,2348,persons,Tableau 5 global; Ituri 115981 + N-Kivu 60233 + Tshopo 2348 + Haut-Uele 16536 (Sud-Kivu ND)
poe_corpses_swabbed,077,2026-07-30,Ensemble,0,corpses,"Tableau 5; 0 corps sans vie interceptes ce jour nationally, so none to swab"
health_worker_infections_cumulative,077,2026-07-30,Haut-Uele,3,persons,"Tableau 8 Ituri-zone total 137 + narrative Nord-Kivu 11 + narrative Haut-Uele 3 = 151; FIRST vintage to mention a Haut-Uele PPL count at all (069-074 checked directly, none mention Haut-Uele PPL) - a genuine new component, not previously omitted by choice. Unlike SitRep 073, this vintage prints NO explicit national total sentence, so 151 is a maintainer sum of the three separately-printed province figures"
health_worker_infections_cumulative,077,2026-07-30,Ituri,137,persons,"Tableau 8 Ituri-zone total 137 + narrative Nord-Kivu 11 + narrative Haut-Uele 3 = 151; FIRST vintage to mention a Haut-Uele PPL count at all (069-074 checked directly, none mention Haut-Uele PPL) - a genuine new component, not previously omitted by choice. Unlike SitRep 073, this vintage prints NO explicit national total sentence, so 151 is a maintainer sum of the three separately-printed province figures"
health_worker_infections_cumulative,077,2026-07-30,Nord-Kivu,11,persons,"Tableau 8 Ituri-zone total 137 + narrative Nord-Kivu 11 + narrative Haut-Uele 3 = 151; FIRST vintage to mention a Haut-Uele PPL count at all (069-074 checked directly, none mention Haut-Uele PPL) - a genuine new component, not previously omitted by choice. Unlike SitRep 073, this vintage prints NO explicit national total sentence, so 151 is a maintainer sum of the three separately-printed province figures"
health_worker_deaths_cumulative,077,2026-07-30,Ituri,41,persons,"Tableau 8 Ituri-zone total 41 + narrative Nord-Kivu 3 = 44; Haut-Uele reports 3 confirmed PPL but no death count is given for that province, so it is not included in this sum (unlike the infections count)"
health_worker_deaths_cumulative,077,2026-07-30,Nord-Kivu,3,persons,"Tableau 8 Ituri-zone total 41 + narrative Nord-Kivu 3 = 44; Haut-Uele reports 3 confirmed PPL but no death count is given for that province, so it is not included in this sum (unlike the infections count)"
treatment_admissions_cumulative,077,2026-07-30,Ensemble,1140,admissions,"Tableau 6 `Total admissions` (cumulative, no 24h qualifier); Ituri 771 + N-Kivu 321 + Haut-Uele 47 + Tshopo 1; distinct from the fitted 24h figure"
treatment_admissions_cumulative,077,2026-07-30,Haut-Uele,47,admissions,"Tableau 6 `Total admissions` (cumulative, no 24h qualifier); Ituri 771 + N-Kivu 321 + Haut-Uele 47 + Tshopo 1; distinct from the fitted 24h figure"
